Manufacturer,Type,Serial Number,Description,Measured Quantity,Nominal sensitivity,Actual sensitivity,Sensitivity unit,Offset,Electrical Unit,Polarity,Due for Calibration,Calibration valid for
B&K,Accelerometer,128816,4333,Acceleration,16,15.51242136,pC/g,0,pC,+,17/02/2012,12
B&K,Accelerometer,128834,4333,Acceleration,16,17.29102121,pC/g,0,pC,+,17/02/2012,12
B&K,Accelerometer,128860,4333,Acceleration,16,13.5246409,pC/g,0,pC,+,17/02/2012,12
B&K,Accelerometer,128867,4333,Acceleration,16,15.05840232,pC/g,0,pC,+,17/02/2012,12
B&K,Accelerometer,225206,4344,Acceleration,2,1.881964567,pC/g,0,pC,+,18/02/2012,12
B&K,Accelerometer,225492,4344,Acceleration,2,1.716997527,pC/g,0,pC,+,18/02/2012,12
B&K,Accelerometer,225536,4344,Acceleration,2,1.87120145,pC/g,0,pC,+,18/02/2012,12
B&K,Accelerometer,31510,4393,Acceleration,3.1,3.142292298,pC/g,0,pC,+,01/05/2014,12
B&K,Accelerometer,31514,4393,Acceleration,3.1,3.115243986,pC/g,0,pC,+,10/06/2014,12
B&K,Accelerometer,31517,4393,Acceleration,3.1,3.103200913,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,31518,4393,Acceleration,3.1,3.120674892,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,31519,4393,Acceleration,3.1,3.161106681,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,31520,4393,Acceleration,3.1,3.163328374,pC/g,0,pC,+,01/05/2014,12
B&K,Accelerometer,31521,4393,Acceleration,3.1,3.177708333,pC/g,0,pC,+,01/05/2014,12
B&K,Accelerometer,31522,4393,Acceleration,3.1,3.167670766,pC/g,0,pC,+,03/05/2014,12
B&K,Accelerometer,31523,4393,Acceleration,3.1,3.07930169,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,31523,4393,Acceleration,3.1,3.07930169,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,31525,4393,Acceleration,3.1,3.159488524,pC/g,0,pC,+,01/05/2014,12
B&K,Accelerometer,31528,4393,Acceleration,3.1,3.097737272,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,31529,4393,Acceleration,3.1,3.146785339,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,31530,4393,Acceleration,3.1,3.121304112,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,31701,4393,Acceleration,3.1,3.100387689,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,31702,4393,Acceleration,3.1,3.127034546,pC/g,0,pC,+,03/05/2014,12
B&K,Accelerometer,31703,4393,Acceleration,3.1,3.101169978,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,31704,4393,Acceleration,3.1,3.089560463,pC/g,0,pC,+,01/05/2014,12
B&K,Accelerometer,31705,4393,Acceleration,3.1,3.090961136,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,31707,4393,Acceleration,3.1,3.118572773,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,31709,4393,Acceleration,3.1,3.117109518,pC/g,0,pC,+,01/05/2014,12
B&K,Accelerometer,31710,4393,Acceleration,3.1,3.141798526,pC/g,0,pC,+,26/07/2014,12
B&K,Accelerometer,31711,4393,Acceleration,3.1,3.084295447,pC/g,0,pC,+,29/07/2014,12
B&K,Accelerometer,31714,4393,Acceleration,3.1,3.113170154,pC/g,0,pC,+,01/05/2014,12
B&K,Accelerometer,31715,4393,Acceleration,3.1,3.152696096,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,33372,4393,Acceleration,3.1,3.098687705,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,33373,4393,Acceleration,3.1,3.132402626,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,33374,4393,Acceleration,3.1,3.09091685,pC/g,0,pC,+,11/06/2014,12
B&K,Accelerometer,33375,4393,Acceleration,3.1,3.110369111,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,33376,4393,Acceleration,3.1,3.141439066,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,33377,4393,Acceleration,3.1,3.107209767,pC/g,0,pC,+,28/01/2014,12
B&K,Accelerometer,33378,4393,Acceleration,3.1,3.08784571,pC/g,0,pC,+,06/06/2014,12
B&K,Accelerometer,33383,4393,Acceleration,3.1,3.121431523,pC/g,0,pC,+,11/06/2014,12
B&K,Accelerometer,33385,4393,Acceleration,3.1,3.084744848,pC/g,0,pC,+,06/06/2014,12
B&K,Accelerometer,33386,4393,Acceleration,3.1,3.071588775,pC/g,0,pC,+,26/07/2014,12
B&K,Accelerometer,33501,4393,Acceleration,3.1,3.115222718,pC/g,0,pC,+,10/06/2014,12
B&K,Accelerometer,33502,4393,Acceleration,3.1,3.101986203,pC/g,0,pC,+,29/07/2014,12
B&K,Accelerometer,33503,4393,Acceleration,3.1,3.124422179,pC/g,0,pC,+,29/07/2014,12
B&K,Accelerometer,33504,4393,Acceleration,3.1,3.121684964,pC/g,0,pC,+,11/06/2014,12
B&K,Accelerometer,33505,4393,Acceleration,3.1,3.106353167,pC/g,0,pC,+,11/06/2014,12
B&K,Accelerometer,33507,4393,Acceleration,3.1,3.085047465,pC/g,0,pC,+,29/07/2014,12
B&K,Accelerometer,33508,4393,Acceleration,3.1,3.105560678,pC/g,0,pC,+,29/07/2014,12
B&K,Accelerometer,33509,4393,Acceleration,3.1,3.140961391,pC/g,0,pC,+,11/06/2014,12
B&K,Accelerometer,33510,4393,Acceleration,3.1,3.086270412,pC/g,0,pC,+,22/01/2015,12
B&K,Accelerometer,K018,4393,Acceleration,3.1,3.135012263,pC/g,0,pC,+,17/12/2015,12
B&K,Accelerometer,K020,4393,Acceleration,3.1,3.131171483,pC/g,0,pC,+,17/12/2015,12
B&K,Accelerometer,K022,4393,Acceleration,3.1,3.098821384,pC/g,0,pC,+,01/05/2014,12
B&K,Accelerometer,K026,4393,Acceleration,3.1,3.145504306,pC/g,0,pC,+,17/12/2015,12
B&K,Accelerometer,K028,4393,Acceleration,3.1,3.124291302,pC/g,0,pC,+,17/12/2015,12
B&K,Accelerometer,K032,4393,Acceleration,3.1,3.112100086,pC/g,0,pC,+,18/12/2015,12
B&K,Accelerometer,K033,4393,Acceleration,3.1,3.063331728,pC/g,0,pC,+,18/12/2015,12
B&K,Accelerometer,K035,4393,Acceleration,3.1,3.115391045,pC/g,0,pC,+,18/12/2015,12
B&K,Accelerometer,K036,4393,Acceleration,3.1,3.090174671,pC/g,0,pC,+,01/05/2014,12
B&K,Accelerometer,K037,4393,Acceleration,3.1,3.144178213,pC/g,0,pC,+,22/07/2015,12
B&K,Accelerometer,K038,4393,Acceleration,3.1,3.168486791,pC/g,0,pC,+,17/12/2015,12
B&K,Accelerometer,K039,4393,Acceleration,3.1,3.113745991,pC/g,0,pC,+,17/12/2015,12
B&K,Accelerometer,K041,4393,Acceleration,3.1,3.078039851,pC/g,0,pC,+,01/05/2014,12
B&K,Accelerometer,K047,4393,Acceleration,3.1,3.063474845,pC/g,0,pC,+,15/07/2015,12
B&K,Accelerometer,K048,4393,Acceleration,3.1,3.073091131,pC/g,0,pC,+,01/05/2014,12
B&K,Accelerometer,K050,4393,Acceleration,3.1,3.073496984,pC/g,0,pC,+,16/07/2015,12
B&K,Accelerometer,K051,4393,Acceleration,3.1,3.059642412,pC/g,0,pC,+,17/12/2015,12
B&K,Accelerometer,K052,4393,Acceleration,3.1,3.104874239,pC/g,0,pC,+,17/12/2015,12
B&K,Accelerometer,K057,4393,Acceleration,3.1,3.08936831,pC/g,0,pC,+,17/12/2015,12
B&K,Accelerometer,K060,4393,Acceleration,3.1,3.068029786,pC/g,0,pC,+,15/07/2015,12
B&K,Accelerometer,K061,4393,Acceleration,3.1,3.10829999,pC/g,0,pC,+,01/05/2014,12
B&K,Accelerometer,K066,4393,Acceleration,3.1,3.067130201,pC/g,0,pC,+,10/06/2014,12
B&K,Accelerometer,K067,4393,Acceleration,3.1,3.054197436,pC/g,0,pC,+,10/06/2014,12
B&K,Accelerometer,K068,4393,Acceleration,3.1,3.080417635,pC/g,0,pC,+,10/06/2014,12
B&K,Accelerometer,K072,4393,Acceleration,3.1,3.116015865,pC/g,0,pC,+,01/05/2014,12
B&K,Accelerometer,K073,4393,Acceleration,3.1,3.030487123,pC/g,0,pC,+,15/07/2015,12
B&K,Accelerometer,K074,4393,Acceleration,3.1,3.10355262,pC/g,0,pC,+,10/06/2014,12
B&K,Accelerometer,K126,4393,Acceleration,3.1,3.092188607,pC/g,0,pC,+,01/05/2014,12
B&K,Accelerometer,K127,4393,Acceleration,3.1,3.090207862,pC/g,0,pC,+,17/12/2015,12
B&K,Accelerometer,K128,4393,Acceleration,3.1,3.082027476,pC/g,0,pC,+,16/07/2015,12
B&K,Accelerometer,K129,4393,Acceleration,3.1,3.125432758,pC/g,0,pC,+,15/07/2015,12
B&K,Accelerometer,K130,4393,Acceleration,3.1,3.160379609,pC/g,0,pC,+,17/12/2015,12
B&K,Accelerometer,K131,4393,Acceleration,3.1,3.105850607,pC/g,0,pC,+,16/07/2015,12
B&K,Accelerometer,K132,4393,Acceleration,3.1,3.120456493,pC/g,0,pC,+,10/06/2014,12
B&K,Accelerometer,K133,4393,Acceleration,3.1,3.117305283,pC/g,0,pC,+,10/06/2014,12
B&K,Accelerometer,K134,4393,Acceleration,3.1,3.120677091,pC/g,0,pC,+,15/07/2015,12
B&K,Accelerometer,K135,4393,Acceleration,3.1,3.111344902,pC/g,0,pC,+,16/07/2015,12
B&K,Accelerometer,K136,4393,Acceleration,3.1,3.11140694,pC/g,0,pC,+,18/12/2015,12
B&K,Accelerometer,K137,4393,Acceleration,3.1,3.096541428,pC/g,0,pC,+,22/07/2015,12
B&K,Accelerometer,K138,4393,Acceleration,3.1,3.122580126,pC/g,0,pC,+,21/01/2015,12
B&K,Accelerometer,K139,4393,Acceleration,3.1,3.077014,pC/g,0,pC,+,16/07/2015,12
B&K,Accelerometer,K141,4393,Acceleration,3.1,3.095073092,pC/g,0,pC,+,15/07/2015,12
B&K,Accelerometer,K142,4393,Acceleration,3.1,3.115436061,pC/g,0,pC,+,10/06/2014,12
B&K,Accelerometer,K145,4393,Acceleration,3.1,3.077680851,pC/g,0,pC,+,15/07/2015,12
B&K,Accelerometer,K146,4393,Acceleration,3.1,3.084408967,pC/g,0,pC,+,10/06/2014,12
B&K,Accelerometer,K147,4393,Acceleration,3.1,3.112175531,pC/g,0,pC,+,10/06/2014,12
B&K,Accelerometer,K148,4393,Acceleration,3.1,3.113104159,pC/g,0,pC,+,10/06/2014,12
B&K,Accelerometer,K153,4393,Acceleration,3.1,3.132726051,pC/g,0,pC,+,10/06/2014,12
B&K,Accelerometer,K154,4393,Acceleration,3.1,3.095412746,pC/g,0,pC,+,10/06/2014,12
DJB,Accelerometer,3573,A/23/E-2,Acceleration,8,6.387923085,pC/g,0,pC,+,31/01/2008,12
DJB,Accelerometer,4116,A/23/E-2,Acceleration,8,5.431787357,pC/g,0,pC,+,31/01/2008,12
DJB,Accelerometer,4279,A/23/E-2,Acceleration,8,7.937791921,pC/g,0,pC,+,31/01/2008,12
DJB,Accelerometer,4288,A/23/E-2,Acceleration,8,6.761354344,pC/g,0,pC,+,31/01/2008,12
DJB,Accelerometer,5286,A/23/E-2,Acceleration,8,6.477271496,pC/g,0,pC,+,31/01/2008,12
DJB,Accelerometer,5785,A/23/E-2,Acceleration,8,7.323831293,pC/g,0,pC,+,31/01/2008,12
DJB,Accelerometer,5815,A/23/E-2,Acceleration,8,6.524023964,pC/g,0,pC,+,31/01/2008,12
DJB,Accelerometer,5830,A/23/E-2,Acceleration,8,6.059189639,pC/g,0,pC,+,31/01/2008,12
DJB,Accelerometer,5838,A/23/E-2,Acceleration,8,6.828175033,pC/g,0,pC,+,31/01/2008,12
DJB,Accelerometer,5850,A/23/E-2,Acceleration,8,6.374468413,pC/g,0,pC,+,31/01/2008,12
DJB,Accelerometer,8236,A/23/E-2,Acceleration,8,5.695154809,pC/g,0,pC,+,31/01/2008,12
DJB,Accelerometer,8296,A/23/E-2,Acceleration,8,6.45875767,pC/g,0,pC,+,31/01/2008,12
DJB,Accelerometer,8301,A/23/E-2,Acceleration,8,7.343131646,pC/g,0,pC,+,30/01/2008,12
DJB,Accelerometer,8362,A/23/E-2,Acceleration,8,5.973363289,pC/g,0,pC,+,30/01/2008,12
DJB,Accelerometer,8371,A/23/E-2,Acceleration,8,6.94566034,pC/g,0,pC,+,31/01/2008,12
DJB,Accelerometer,8379,A/23/E-2,Acceleration,8,7.586693562,pC/g,0,pC,+,30/01/2008,12
DJB,Accelerometer,8383,A/23/E-2,Acceleration,8,6.164286238,pC/g,0,pC,+,31/01/2008,12
DJB,Accelerometer,8405,A/23/E-2,Acceleration,8,6.86608999,pC/g,0,pC,+,31/01/2008,12
DJB,Accelerometer,8408,A/23/E-2,Acceleration,8,6.745444816,pC/g,0,pC,+,31/01/2008,12
ELECTRO MECHANICS LTD,Accelerometer,301A,JP13CS,Acceleration,10,37.70917525,pC/g,0,pC,+,17/02/2012,12
ENDEVCO,Accelerometer,UA21,2103-100,Acceleration,160,162,pC/lb,0,pC,+,24/06/2009,12
ENDEVCO,Accelerometer,29005,22,Acceleration,0.4,0.562,pC/g,0,pC,+,13/03/2010,12
ENDEVCO,Accelerometer,29006,22,Acceleration,0.4,0.6089,pC/g,0,pC,+,13/03/2010,12
ENDEVCO,Accelerometer,29010,22,Acceleration,0.4,0.5517,pC/g,0,pC,+,13/03/2010,12
ENDEVCO,Accelerometer,29011,22,Acceleration,0.4,0.5807,pC/g,0,pC,+,13/03/2010,12
ENDEVCO,Accelerometer,29015,22,Acceleration,0.4,0.5851,pC/g,0,pC,+,13/03/2010,12
ENDEVCO,Accelerometer,29020,22,Acceleration,0.4,0.6091,pC/g,0,pC,+,13/03/2010,12
ENDEVCO,Accelerometer,29021,22,Acceleration,0.4,0.6182,pC/g,0,pC,+,13/03/2010,12
ENDEVCO,Accelerometer,29025,22,Acceleration,0.4,0.5793,pC/g,0,pC,+,13/03/2010,12
ENDEVCO,Accelerometer,29026,22,Acceleration,0.4,0.573,pC/g,0,pC,+,13/03/2010,12
ENDEVCO,Accelerometer,29039,22,Acceleration,0.4,0.5767,pC/g,0,pC,+,16/03/2010,12
ENDEVCO,Accelerometer,ZE97,22,Acceleration,0.4,0.363,pC/g,0,pC,+,07/03/1978,12
ENDEVCO,Accelerometer,ZF07,22,Acceleration,0.4,0.53,pC/g,0,pC,+,16/02/1989,12
ENDEVCO,Accelerometer,ZF52,22,Acceleration,0.4,0.44,pC/g,0,pC,+,07/03/1995,12
ENDEVCO,Accelerometer,ZK28,22,Acceleration,0.4,0.363,pC/g,0,pC,+,07/03/1978,12
ENDEVCO,Accelerometer,ZL59,22,Acceleration,0.4,0.38,pC/g,0,pC,+,01/06/1983,12
ENDEVCO,Accelerometer,ZN86,22,Acceleration,0.4,0.5,pC/g,0,pC,+,07/03/1995,12
ENDEVCO,Accelerometer,ZP55,22,Acceleration,0.4,0.43,pC/g,0,pC,+,07/03/1995,12
ENDEVCO,Accelerometer,ZP79,22,Acceleration,0.4,0.57,pC/g,0,pC,+,07/03/1995,12
ENDEVCO,Accelerometer,ZP81,22,Acceleration,0.4,0.48,pC/g,0,pC,+,07/03/1995,12
ENDEVCO,Accelerometer,ZS54,22,Acceleration,0.4,0.45,pC/g,0,pC,+,16/02/1989,12
ENDEVCO,Accelerometer,ZS92,22,Acceleration,0.4,0.52,pC/g,0,pC,+,07/03/1995,12
ENDEVCO,Accelerometer,ZU44,22,Acceleration,0.4,0.5,pC/g,0,pC,+,07/03/1995,12
ENDEVCO,Accelerometer,11743,2220,Acceleration,3,2.709574149,pC/g,0,pC,+,06/05/2015,12
ENDEVCO,Accelerometer,11744,2220,Acceleration,3,2.517862816,pC/g,0,pC,+,26/02/2016,12
ENDEVCO,Accelerometer,11745,2220,Acceleration,3,2.526142779,pC/g,0,pC,+,06/05/2015,12
ENDEVCO,Accelerometer,11746,2220,Acceleration,3,2.641588264,pC/g,0,pC,+,06/05/2015,12
ENDEVCO,Accelerometer,11747,2220,Acceleration,3,2.527292686,pC/g,0,pC,+,06/05/2015,12
ENDEVCO,Accelerometer,11748,2220,Acceleration,3,2.684377466,pC/g,0,pC,+,06/05/2014,12
ENDEVCO,Accelerometer,11749,2220,Acceleration,3,2.53567948,pC/g,0,pC,+,06/05/2014,12
ENDEVCO,Accelerometer,11750,2220,Acceleration,3,2.63646554,pC/g,0,pC,+,06/05/2014,12
ENDEVCO,Accelerometer,11751,2220,Acceleration,3,2.691796458,pC/g,0,pC,+,06/05/2014,12
ENDEVCO,Accelerometer,11752,2220,Acceleration,3,2.763400421,pC/g,0,pC,+,06/05/2014,12
ENDEVCO,Accelerometer,11753,2220,Acceleration,3,2.598847604,pC/g,0,pC,+,06/05/2014,12
ENDEVCO,Accelerometer,11754,2220,Acceleration,3,2.608449892,pC/g,0,pC,+,06/05/2014,12
ENDEVCO,Accelerometer,11755,2220,Acceleration,3,2.569309237,pC/g,0,pC,+,06/05/2014,12
ENDEVCO,Accelerometer,11756,2220,Acceleration,3,2.623056444,pC/g,0,pC,+,06/05/2014,12
ENDEVCO,Accelerometer,11757,2220,Acceleration,3,2.539440578,pC/g,0,pC,+,06/05/2014,12
ENDEVCO,Accelerometer,11758,2220,Acceleration,3,2.411240229,pC/g,0,pC,+,06/05/2014,12
ENDEVCO,Accelerometer,11761,2220,Acceleration,3,2.521458444,pC/g,0,pC,+,06/05/2014,12
ENDEVCO,Accelerometer,11762,2220,Acceleration,3,2.679622302,pC/g,0,pC,+,06/05/2014,12
ENDEVCO,Accelerometer,11763,2220,Acceleration,3,2.659242094,pC/g,0,pC,+,06/05/2014,12
ENDEVCO,Accelerometer,11765,2220,Acceleration,3,2.540994652,pC/g,0,pC,+,06/05/2014,12
ENDEVCO,Accelerometer,11766,2220,Acceleration,3,2.592915389,pC/g,0,pC,+,06/05/2014,12
ENDEVCO,Accelerometer,11767,2220,Acceleration,3,2.649688607,pC/g,0,pC,+,06/05/2014,12
ENDEVCO,Accelerometer,11768,2220,Acceleration,3,2.571434953,pC/g,0,pC,+,06/05/2014,12
ENDEVCO,Accelerometer,11769,2220,Acceleration,3,2.706701625,pC/g,0,pC,+,06/05/2014,12
ENDEVCO,Accelerometer,11770,2220,Acceleration,3,2.674644361,pC/g,0,pC,+,06/05/2014,12
ENDEVCO,Accelerometer,11771,2220,Acceleration,3,2.662338683,pC/g,0,pC,+,06/05/2014,12
ENDEVCO,Accelerometer,11772,2220,Acceleration,3,2.665296786,pC/g,0,pC,+,06/05/2014,12
ENDEVCO,Accelerometer,11773,2220,Acceleration,3,2.648338744,pC/g,0,pC,+,06/05/2014,12
ENDEVCO,Accelerometer,11774,2220,Acceleration,3,2.717731126,pC/g,0,pC,+,06/05/2014,12
ENDEVCO,Accelerometer,11775,2220,Acceleration,3,2.647951381,pC/g,0,pC,+,06/05/2014,12
ENDEVCO,Accelerometer,11776,2220,Acceleration,3,2.713144402,pC/g,0,pC,+,06/05/2014,12
ENDEVCO,Accelerometer,11777,2220,Acceleration,3,2.682843832,pC/g,0,pC,+,06/05/2014,12
ENDEVCO,Accelerometer,11778,2220,Acceleration,3,2.666550723,pC/g,0,pC,+,06/05/2014,12
ENDEVCO,Accelerometer,11779,2220,Acceleration,3,2.675635468,pC/g,0,pC,+,11/04/2013,12
ENDEVCO,Accelerometer,11780,2220,Acceleration,3,2.692526713,pC/g,0,pC,+,11/04/2013,12
ENDEVCO,Accelerometer,11788,2220,Acceleration,3,2.613602829,pC/g,0,pC,+,11/04/2013,12
ENDEVCO,Accelerometer,16801,2220,Acceleration,3,2.528,pC/g,0,pC,+,16/06/2016,12
ENDEVCO,Accelerometer,16802,2220,Acceleration,3,2.473,pC/g,0,pC,+,16/06/2016,12
ENDEVCO,Accelerometer,16809,2220,Acceleration,3,2.537,pC/g,0,pC,+,16/06/2016,12
ENDEVCO,Accelerometer,16811,2220,Acceleration,3,2.44,pC/g,0,pC,+,16/06/2016,12
ENDEVCO,Accelerometer,16816,2220,Acceleration,3,2.481,pC/g,0,pC,+,09/07/2016,12
ENDEVCO,Accelerometer,16821,2220,Acceleration,3,2.527,pC/g,0,pC,+,09/07/2016,12
ENDEVCO,Accelerometer,16823,2220,Acceleration,3,2.285,pC/g,0,pC,+,09/07/2016,12
ENDEVCO,Accelerometer,16826,2220,Acceleration,3,2.659,pC/g,0,pC,+,09/07/2016,12
ENDEVCO,Accelerometer,16827,2220,Acceleration,3,2.5,pC/g,0,pC,+,09/07/2016,12
ENDEVCO,Accelerometer,AB000,2220,Acceleration,3,3.18291457,pC/g,0,pC,+,03/06/2014,12
ENDEVCO,Accelerometer,AB002,2220,Acceleration,3,2.970082659,pC/g,0,pC,+,18/03/2016,12
ENDEVCO,Accelerometer,AB004,2220,Acceleration,3,3.199812254,pC/g,0,pC,+,08/04/2015,12
ENDEVCO,Accelerometer,AB005,2220,Acceleration,3,3.133471461,pC/g,0,pC,+,18/03/2016,12
ENDEVCO,Accelerometer,AB006,2220,Acceleration,3,3.018372347,pC/g,0,pC,+,07/04/2015,12
ENDEVCO,Accelerometer,AB007,2220,Acceleration,3,3.152992776,pC/g,0,pC,+,18/03/2016,12
ENDEVCO,Accelerometer,AB008,2220,Acceleration,3,2.986530798,pC/g,0,pC,+,18/03/2016,12
ENDEVCO,Accelerometer,AB009,2220,Acceleration,3,3.027156675,pC/g,0,pC,+,11/05/2016,12
ENDEVCO,Accelerometer,AB010,2220,Acceleration,3,3.030227849,pC/g,0,pC,+,18/03/2016,12
ENDEVCO,Accelerometer,AB011,2220,Acceleration,3,3.119832602,pC/g,0,pC,+,18/03/2016,12
ENDEVCO,Accelerometer,AB014,2220,Acceleration,3,3.106079387,pC/g,0,pC,+,18/03/2016,12
ENDEVCO,Accelerometer,AB015,2220,Acceleration,3,3.204746922,pC/g,0,pC,+,07/04/2015,12
ENDEVCO,Accelerometer,AB016,2220,Acceleration,3,3.123158547,pC/g,0,pC,+,18/03/2016,12
ENDEVCO,Accelerometer,AB017,2220,Acceleration,3,3.001601457,pC/g,0,pC,+,18/03/2016,12
ENDEVCO,Accelerometer,AB019,2220,Acceleration,3,3.093527197,pC/g,0,pC,+,07/04/2015,12
ENDEVCO,Accelerometer,AB020,2220,Acceleration,3,3.05262259,pC/g,0,pC,+,07/04/2015,12
ENDEVCO,Accelerometer,AB022,2220,Acceleration,3,2.985006489,pC/g,0,pC,+,20/05/2016,12
ENDEVCO,Accelerometer,AB023,2220,Acceleration,3,2.912203356,pC/g,0,pC,+,07/04/2015,12
ENDEVCO,Accelerometer,AB024,2220,Acceleration,3,3.083827221,pC/g,0,pC,+,07/04/2015,12
ENDEVCO,Accelerometer,AB025,2220,Acceleration,3,2.943162515,pC/g,0,pC,+,07/04/2015,12
ENDEVCO,Accelerometer,AB026,2220,Acceleration,3,3.229580672,pC/g,0,pC,+,07/04/2015,12
ENDEVCO,Accelerometer,AB0N1,2220,Acceleration,3,3.202087366,pC/g,0,pC,+,23/11/2013,12
ENDEVCO,Accelerometer,AB0N2,2220,Acceleration,3,2.972275357,pC/g,0,pC,+,18/03/2016,12
ENDEVCO,Accelerometer,AB0N3,2220,Acceleration,3,2.990376126,pC/g,0,pC,+,18/03/2016,12
ENDEVCO,Accelerometer,AB0P0,2220,Acceleration,3,2.852978441,pC/g,0,pC,+,16/07/2016,12
ENDEVCO,Accelerometer,AB0P1,2220,Acceleration,3,3.145077245,pC/g,0,pC,+,18/03/2016,12
ENDEVCO,Accelerometer,AB0P2,2220,Acceleration,3,2.994537351,pC/g,0,pC,+,18/03/2016,12
ENDEVCO,Accelerometer,AB0P3,2220,Acceleration,3,3.225680164,pC/g,0,pC,+,18/03/2016,12
ENDEVCO,Accelerometer,AB0P4,2220,Acceleration,3,3.040239904,pC/g,0,pC,+,19/03/2016,12
ENDEVCO,Accelerometer,AB0P6,2220,Acceleration,3,3.154882779,pC/g,0,pC,+,19/03/2016,12
ENDEVCO,Accelerometer,AB0P7,2220,Acceleration,3,3.116769807,pC/g,0,pC,+,20/05/2016,12
ENDEVCO,Accelerometer,AB0R0,2220,Acceleration,3,3.180859562,pC/g,0,pC,+,20/08/2009,12
ENDEVCO,Accelerometer,AB0R2,2220,Acceleration,3,3.058375651,pC/g,0,pC,+,12/03/2016,12
ENDEVCO,Accelerometer,AB0R3,2220,Acceleration,3,3.075613112,pC/g,0,pC,+,12/03/2016,12
ENDEVCO,Accelerometer,AB0R4,2220,Acceleration,3,2.97269579,pC/g,0,pC,+,12/03/2016,12
ENDEVCO,Accelerometer,AB0R5,2220,Acceleration,3,3.057233028,pC/g,0,pC,+,20/05/2016,12
ENDEVCO,Accelerometer,AB0R6,2220,Acceleration,3,3.150943305,pC/g,0,pC,+,12/03/2016,12
ENDEVCO,Accelerometer,AB0R7,2220,Acceleration,3,2.873451887,pC/g,0,pC,+,12/03/2016,12
ENDEVCO,Accelerometer,AB0R8,2220,Acceleration,3,3.049637829,pC/g,0,pC,+,20/05/2016,12
ENDEVCO,Accelerometer,AB0R9,2220,Acceleration,3,2.995237206,pC/g,0,pC,+,12/03/2016,12
ENDEVCO,Accelerometer,AB0T0,2220,Acceleration,3,3.015086765,pC/g,0,pC,+,12/03/2016,12
ENDEVCO,Accelerometer,AB0T1,2220,Acceleration,3,3.164964162,pC/g,0,pC,+,12/03/2016,12
ENDEVCO,Accelerometer,AB0W0,2220,Acceleration,3,2.94926951,pC/g,0,pC,+,12/03/2016,12
ENDEVCO,Accelerometer,AB0W1,2220,Acceleration,3,3.154762133,pC/g,0,pC,+,12/03/2016,12
ENDEVCO,Accelerometer,AB0W2,2220,Acceleration,3,3.035685388,pC/g,0,pC,+,11/05/2016,12
ENDEVCO,Accelerometer,AB0W3,2220,Acceleration,3,2.974086364,pC/g,0,pC,+,19/03/2016,12
ENDEVCO,Accelerometer,AB0W5,2220,Acceleration,3,2.868163991,pC/g,0,pC,+,11/05/2016,12
ENDEVCO,Accelerometer,AB0W7,2220,Acceleration,3,2.977648391,pC/g,0,pC,+,11/05/2016,12
ENDEVCO,Accelerometer,AB0W8,2220,Acceleration,3,3.185620335,pC/g,0,pC,+,11/05/2016,12
ENDEVCO,Accelerometer,AB0W9,2220,Acceleration,3,3.290466468,pC/g,0,pC,+,19/03/2016,12
ENDEVCO,Accelerometer,AB0Y0,2220,Acceleration,3,3.110566802,pC/g,0,pC,+,19/03/2016,12
ENDEVCO,Accelerometer,AB0Y1,2220,Acceleration,3,3.151456096,pC/g,0,pC,+,19/03/2016,12
ENDEVCO,Accelerometer,AB0Y2,2220,Acceleration,3,2.987144304,pC/g,0,pC,+,07/04/2015,12
ENDEVCO,Accelerometer,AB0Y3,2220,Acceleration,3,2.98753639,pC/g,0,pC,+,07/04/2015,12
ENDEVCO,Accelerometer,AB0Y5,2220,Acceleration,3,3.084594603,pC/g,0,pC,+,08/04/2015,12
ENDEVCO,Accelerometer,B017,2220,Acceleration,3,3.013039899,pC/g,0,pC,+,10/10/2004,12
ENDEVCO,Accelerometer,B020,2220,Acceleration,3,3.047426108,pC/g,0,pC,+,10/10/2004,12
ENDEVCO,Accelerometer,BA20,2220,Acceleration,3,2.689228101,pC/g,0,pC,+,23/07/2014,12
ENDEVCO,Accelerometer,BB91,2220,Acceleration,3,0.194443119,pC/g,0,pC,+,16/07/2016,12
ENDEVCO,Accelerometer,BB93,2220,Acceleration,3,2.676877914,pC/g,0,pC,+,23/07/2014,12
ENDEVCO,Accelerometer,BC06,2220,Acceleration,3,2.706990332,pC/g,0,pC,+,16/07/2016,12
